Date,Team_A,Team_B,IsNeutral,Venue
11/22/2025,Penn State,Providence,TRUE,Barclays Center (NIT Season Tip-Off)
11/22/2025,Minnesota,San Francisco,TRUE,Myrtle Beach Invitational (Conway, SC)
11/22/2025,UC Irvine,Northern Iowa,TRUE,Cayman Islands Classic (George Town)
11/22/2025,Weber State,UT-Arlington,TRUE,Suncoast Credit Union Arena (Gulf Coast Showcase)
11/22/2025,Portland,N Colorado,TRUE,Diamond Head style MTE (Las Vegas neutral floor)
11/22/2025,Stetson,VMI,TRUE,Atlantic Sun MTE (estimate neutral floor)
11/22/2025,Richmond,Gardner-Webb,TRUE,Host-neutral event (non-campus venue)
11/22/2025,Morehead St,UL Monroe,TRUE,Arizona Tip-Off style neutral floor
11/22/2025,Coastal Carolina,North Dakota,TRUE,Gulf Coast Showcase auxiliary court
11/22/2025,Le Moyne,Fairfield,TRUE,Naismith Showcase pod
