Alias,Team
Abilene Christian Wildcats,Abilene Christian
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Albany Great Danes,Albany
Alcorn St Braves,Alcorn St.
Appalachian St Mountaineers,Appalachian St.
Arizona St Sun Devils,Arizona St.
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Auburn Tigers,Auburn
Baylor Bears,Baylor
Brown Bears,Brown
Bryant Bulldogs,Bryant
Bucknell Bison,Bucknell
BYU Cougars,BYU
Cal Baptist Lancers,Cal Baptist
Cal Poly Mustangs,Cal Poly
California Golden Bears,California
Central Arkansas Bears,Central Arkansas
Central Connecticut St Blue Devils,Central Connecticut
Central Michigan Chippewas,Central Michigan
Charleston Cougars,Charleston
Charleston Southern Buccaneers,Charleston Southern
Charlotte 49ers,Charlotte
Cincinnati Bearcats,Cincinnati
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado St Rams,Colorado St.
Columbia Lions,Columbia
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
CSU Bakersfield Roadrunners,Cal St. Bakersfield
CSU Northridge Matadors,CSUN
Dartmouth Big Green,Dartmouth
DePaul Blue Demons,DePaul
Drake Bulldogs,Drake
Duke Blue Devils,Duke
East Texas A&M Lions,East Texas A&M
Eastern Illinois Panthers,Eastern Illinois
Eastern Michigan Eagles,Eastern Michigan
Fairfield Stags,Fairfield
Florida Gators,Florida
Florida Int'l Golden Panthers,FIU
Fordham Rams,Fordham
Furman Paladins,Furman
Georgia Bulldogs,Georgia
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling St Tigers,Grambling St.
Green Bay Phoenix,Green Bay
Hampton Pirates,Hampton
Hawai'i Rainbow Warriors,Hawaii
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Christian Huskies,Houston Christian
Houston Cougars,Houston
Howard Bison,Howard
Illinois Fighting Illini,Illinois
Illinois St Redbirds,Illinois St.
Incarnate Word Cardinals,Incarnate Word
Indiana Hoosiers,Indiana
Indiana St Sycamores,Indiana St.
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
IUPUI Jaguars,IU Indy
Jacksonville St Gamecocks,Jacksonville St.
Kansas St Wildcats,Kansas St.
Kennesaw St Owls,Kennesaw St.
Kentucky Wildcats,Kentucky
Lafayette Leopards,Lafayette
Le Moyne Dolphins,Le Moyne
Lehigh Mountain Hawks,Lehigh
Lindenwood Lions,Lindenwood
Long Beach St 49ers,Long Beach St.
Louisiana Ragin' Cajuns,Louisiana
Loyola (Chi) Ramblers,Loyola Chicago
Loyola Marymount Lions,Loyola Marymount
LSU Tigers,LSU
Maine Black Bears,Maine
Manhattan Jaspers,Manhattan
Maryland-Eastern Shore Hawks,Maryland Eastern Shore
Massachusetts Minutemen,Massachusetts
McNeese Cowboys,McNeese
Memphis Tigers,Memphis
Miami Hurricanes,Miami FL
Michigan St Spartans,Michigan St.
Michigan Wolverines,Michigan
Milwaukee Panthers,Milwaukee
Miss Valley St Delta Devils,Mississippi Valley St.
Monmouth Hawks,Monmouth
Montana Grizzlies,Montana St.
Mt. St. Mary's Mountaineers,Mount St. Mary's
New Orleans Privateers,New Orleans
Norfolk St Spartans,Norfolk St.
North Carolina Central Eagles,North Carolina Central
North Carolina Tar Heels,North Carolina
North Texas Mean Green,North Texas
Northern Iowa Panthers,Northern Iowa
Northwestern Wildcats,Northwestern
Notre Dame Fighting Irish,Notre Dame
Ohio State Buckeyes,Ohio St.
Oklahoma St Cowboys,Oklahoma St.
Ole Miss Rebels,Mississippi
Pittsburgh Panthers,Pittsburgh
Presbyterian Blue Hose,Presbyterian
Providence Friars,Providence
Purdue Boilermakers,Purdue
Quinnipiac Bobcats,Quinnipiac
Rhode Island Rams,Rhode Island
Rice Owls,Rice
Rutgers Scarlet Knights,Rutgers
Sacramento St Hornets,Sacramento St.
Sacramento St.,Sacramento St.
Saint Mary's Gaels,Saint Mary's
Samford Bulldogs,Samford
San José St Spartans,San Jose St.
Seton Hall Pirates,Seton Hall
SIU-Edwardsville Cougars,SIUE
South Alabama Jaguars,South Alabama
South Carolina St Bulldogs,South Carolina St.
South Dakota Coyotes,South Dakota
South Florida Bulls,South Florida
Southern Miss Golden Eagles,Southern Miss
St. Thomas (MN) Tommies,St. Thomas
Stephen F. Austin Lumberjacks,Stephen F. Austin
Stetson Hatters,Stetson
Stonehill Skyhawks,Stonehill
Tarleton State Texans,Tarleton St.
TCU Horned Frogs,TCU
Tennessee St Tigers,Tennessee St.
Texas A&M Aggies,Texas A&M
Texas A&M-CC Islanders,Texas A&M Corpus Chris
Texas Tech Red Raiders,Texas Tech
The Citadel Bulldogs,The Citadel
Towson Tigers,Towson
Troy Trojans,Troy
Tulane Green Wave,Tulane
UAB Blazers,UAB
UC Davis Aggies,UC Davis
UCF Knights,UCF
UCLA Bruins,UCLA
UConn Huskies,Connecticut
UL Monroe Warhawks,Louisiana Monroe
UMass Lowell River Hawks,UMass Lowell
UMBC Retrievers,UMBC
UNLV Rebels,UNLV
USC Trojans,USC
Utah Tech Trailblazers,Utah Tech
Valparaiso Beacons,Valparaiso
Virginia Tech Hokies,Virginia Tech
Wagner Seahawks,Wagner
Wake Forest Demon Deacons,Wake Forest
Washington Huskies,Washington
Washington St Cougars,Washington St.
West Georgia Wolves,West Georgia
West Virginia Mountaineers,West Virginia
Western Carolina Catamounts,Western Carolina
Western Illinois Leathernecks,Western Illinois
Western Kentucky Hilltoppers,Western Kentucky
Western Michigan Broncos,Western Michigan
Wichita St Shockers,Wichita St.
Xavier Musketeers,Xavier
Alabama St Hornets,Alabama St.
Clemson Tigers,Clemson
Florida A&M Rattlers,Florida A&M
Georgia St Panthers,Georgia St.
Iowa State Cyclones,Iowa St.
Kansas Jayhawks,Kansas
Missouri Tigers,Missouri
NC State Wolfpack,N.C. State
Niagara Purple Eagles,Niagara
North Alabama Lions,North Alabama
North Dakota St Bison,North Dakota St.
Oakland Golden Grizzlies,Oakland
Oregon Ducks,Oregon
Oregon St Beavers,Oregon St.
Pennsylvania Quakers,Penn
Portland St Vikings,Portland St.
Prairie View Panthers,Prairie View A&M
Saint Joseph's Hawks,Saint Joseph's
Siena Saints,Siena
Southern Illinois Salukis,Southern Illinois
Southern Utah Thunderbirds,Southern Utah
Tennessee Tech Golden Eagles,Tennessee Tech
Tennessee Volunteers,Tennessee
Tulsa Golden Hurricane,Tulsa
UC Santa Barbara Gauchos,UC Santa Barbara
VCU Rams,VCU
Wisconsin Badgers,Wisconsin
Buffalo Bulls,Buffalo
Boston College Eagles,Boston College
Delaware Blue Hens,Delaware
Detroit Mercy Titans,Detroit Mercy
Drexel Dragons,Drexel
UNC Wilmington Seahawks,UNC Wilmington
Kent State Golden Flashes,Kent St.
Florida St Seminoles,Florida St.
George Mason Patriots,George Mason
James Madison Dukes,James Madison
Longwood Lancers,Longwood
Morgan St Bears,Morgan St.
South Carolina Gamecocks,South Carolina
Texas State Bobcats,Texas St.
Murray St Racers,Murray St.
SMU Mustangs,SMU
Minnesota Golden Gophers,Minnesota
Evansville Purple Aces,Evansville
Yale Bulldogs,Yale
Boise State Broncos,Boise St.
Utah Utes,Utah
Fresno St Bulldogs,Fresno St.
San Diego Toreros,San Diego
Syracuse Orange,Syracuse
Pepperdine Waves,Pepperdine
Texas Longhorns,Texas
Santa Clara Broncos,Santa Clara
Stanford Cardinal,Stanford
Nevada Wolf Pack,Nevada
San Francisco Dons,San Francisco
San Diego St Aztecs,San Diego St.
American Eagles,American
Vermont Catamounts,Vermont
Boston Univ. Terriers,Boston University
Saint Peter's Peacocks,Saint Peter's
NJIT Highlanders,NJIT
East Carolina Pirates,East Carolina
Eastern Kentucky Colonels,Eastern Kentucky
Tenn-Martin Skyhawks,Tennessee Martin
Jacksonville Dolphins,Jacksonville
Princeton Tigers,Princeton
St. Francis (PA) Red Flash,Saint Francis
North Carolina A&T Aggies,North Carolina A&T
Navy Midshipmen,Navy
