Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,HomeModelSpread,AwayModelSpread,ModelTotal,WinProb_A_pct
2025-11-18,Rutgers Scarlet Knights,American Eagles,Rutgers,American,Rutgers,American,-14.5,14.5,145.5,110.349,100.81,101.339,111.547,9.00956,-10.7368,69.9232,70.0032,3.9,2.1,-28.85,28.85,159.6,98.094
2025-11-18,Buffalo Bulls,Vermont Catamounts,Buffalo,Vermont,Buffalo,Vermont,3.5,-3.5,140.5,105.02,107.535,112.081,109.16,-7.06023,-1.6253,69.628,67.8958,2.9,2.4,3.09,-3.09,157.8,39.592
2025-11-18,Kentucky Wildcats,Michigan St Spartans,Kentucky,Michigan St.,Kentucky,Michigan St.,-4.5,4.5,153.5,122.965,115.144,94.103,95.6274,28.8623,19.5165,72.5542,69.383,3.6,3.1,-15.79,15.79,182.5,89.638
2025-11-19,Boston College Eagles,Hampton Pirates,Boston College,Hampton,Boston College,Hampton,-12.5,12.5,138.5,107.193,102.59,100.704,109.814,6.48917,-7.22396,68.9601,68.837,3.0,3.2,-20.39,20.39,156.1,94.189
2025-11-19,Columbia Lions,Boston Univ. Terriers,Columbia,Boston University,Columbia,Boston University,-6.5,6.5,145.5,105.708,107.261,109.539,115.641,-3.83109,-8.37982,70.18,66.3485,2.0,2.1,-7.99,7.99,157.0,74.866
2025-11-19,Brown Bears,Holy Cross Crusaders,Brown,Holy Cross,Brown,Holy Cross,-3.5,3.5,139.5,100.217,101.727,110.097,114.667,-9.87992,-12.9404,68.5974,68.9569,1.8,2.1,-5.93,5.93,150.0,69.213
2025-11-19,Delaware Blue Hens,Saint Peter's Peacocks,Delaware,Saint Peter's,Delaware,Saint Peter's,-5.5,5.5,140.5,106.158,100.259,111.836,110.827,-5.67803,-10.5678,70.2887,67.2642,2.4,2.6,-8.89,8.89,153.3,77.118
2025-11-19,Detroit Mercy Titans,Eastern Michigan Eagles,Detroit Mercy,Eastern Michigan,Detroit Mercy,Eastern Michigan,1.5,-1.5,154.5,100.925,102.55,112.835,109.667,-11.9097,-7.11716,73.6619,70.7944,2.8,2.9,2.43,-2.43,158.7,41.773
2025-11-19,Drexel Dragons,NJIT Highlanders,Drexel,NJIT,Drexel,NJIT,-9.5,9.5,133.5,102.051,95.5078,110.839,110.033,-8.78846,-14.5256,68.1834,70.6722,3.1,2.3,-10.78,10.78,148.1,81.349
2025-11-19,UNC Wilmington Seahawks,East Carolina Pirates,UNC Wilmington,East Carolina,UNC Wilmington,East Carolina,-6.5,6.5,145.5,110.601,103.844,108.14,105.588,2.46062,-1.74376,68.2316,71.9421,3.0,3.3,-8.79,8.79,162.3,76.865
2025-11-19,Kent State Golden Flashes,Eastern Kentucky Colonels,Kent St.,Eastern Kentucky,Kent St.,Eastern Kentucky,-10.5,10.5,158.5,113.247,105.966,110.655,111.198,2.59168,-5.23208,72.0575,71.7116,2.8,2.9,-12.96,12.96,170.2,85.454
2025-11-19,Florida St Seminoles,Tenn-Martin Skyhawks,Florida St.,Tennessee Martin,Florida St.,Tennessee Martin,-22.5,22.5,162.5,113.175,101.584,100.488,107.327,12.6869,-5.74265,73.6532,72.1731,3.2,2.6,-26.39,26.39,169.1,97.353
2025-11-19,George Mason Patriots,Jacksonville Dolphins,George Mason,Jacksonville,George Mason,Jacksonville,-14.5,14.5,135.5,108.677,100.953,99.4049,107.646,9.27209,-6.69342,68.2602,69.0399,3.3,2.9,-23.5,23.5,155.4,96.124
2025-11-19,Iona Gaels,Princeton Tigers,Iona,Princeton,Iona,Princeton,-3.5,3.5,153.5,106.401,102.835,109.712,108.154,-3.31108,-5.31927,74.2214,70.7141,2.8,2.1,-5.87,5.87,163.8,69.027
2025-11-19,James Madison Dukes,Towson Tigers,James Madison,Towson,James Madison,Towson,2.5,-2.5,137.5,107.69,103.491,111.223,100.893,-3.53296,2.59866,69.4415,66.8398,2.8,2.6,4.06,-4.06,155.4,36.464
2025-11-19,Lehigh Mountain Hawks,St. Francis (PA) Red Flash,Lehigh,Saint Francis,Lehigh,Saint Francis,-9.5,9.5,152.5,100.074,96.3491,109.285,114.384,-9.21164,-18.0347,71.0178,71.859,2.1,2.4,-13.33,13.33,151.5,86.063
2025-11-19,Longwood Lancers,Maryland-Eastern Shore Hawks,Longwood,Maryland Eastern Shore,Longwood,Maryland Eastern Shore,-18.5,18.5,142.5,105.59,91.2863,109.757,109.117,-4.16656,-17.8309,72.275,66.9689,2.2,3.1,-19.35,19.35,148.0,93.364
2025-11-19,Morgan St Bears,North Carolina A&T Aggies,Morgan St.,North Carolina A&T,Morgan St.,North Carolina A&T,1.5,-1.5,159.5,98.224,97.5044,116.794,111.686,-18.5701,-14.1813,72.7994,74.0601,2.8,3.5,1.94,-1.94,155.2,43.418
2025-11-19,North Carolina Tar Heels,Navy Midshipmen,North Carolina,Navy,North Carolina,Navy,-25.5,25.5,161.5,119.183,105.718,97.9379,107.946,21.2447,-2.22827,73.736,71.0159,3.4,1.6,-32.79,32.79,175.8,98.878
2025-11-19,Providence Friars,New Hampshire Wildcats,Providence,New Hampshire,Providence,New Hampshire,-26.5,26.5,158.5,115.951,96.2977,103.923,113.702,12.0278,-17.4047,74.4483,71.3641,3.2,2.4,-39.81,39.81,167.1,99.0
2025-11-19,Seton Hall Pirates,New Haven Chargers,Seton Hall,New Haven,Seton Hall,New Haven,-23.5,23.5,126.5,107.772,93.0442,98.6874,111.941,9.08435,-18.8973,67.5089,67.7536,3.1,2.2,-37.92,37.92,146.7,99.0
2025-11-19,Xavier Musketeers,Old Dominion Monarchs,Xavier,Old Dominion,Xavier,Old Dominion,-10.5,10.5,150.5,108.207,105.198,103.113,110.451,5.09342,-5.25252,72.214,69.2708,3.4,3.1,-16.77,16.77,163.0,90.813
2025-11-19,South Carolina Gamecocks,Radford Highlanders,South Carolina,Radford,South Carolina,Radford,-10.5,10.5,155.5,111.957,105.324,104.159,111.085,7.79759,-5.7615,69.0201,72.2832,3.3,2.3,-20.57,20.57,165.8,94.321
2025-11-19,Georgia Tech Yellow Jackets,Georgia Southern Eagles,Georgia Tech,Georgia Southern,Georgia Tech,Georgia Southern,-10.5,10.5,162.5,106.581,108.99,97.2663,114.996,9.31455,-6.00671,72.7365,74.7804,2.7,2.5,-21.99,21.99,171.7,95.273
2025-11-19,Texas State Bobcats,Abilene Christian Wildcats,Texas St.,Abilene Christian,Texas St.,Abilene Christian,-1.5,1.5,138.5,102.289,101.392,107.415,105.258,-5.12532,-3.86649,68.9416,70.9134,2.4,2.9,-1.39,1.39,153.8,54.741
2025-11-19,LSU Tigers,Alcorn St Braves,LSU,Alcorn St.,LSU,Alcorn St.,-30.5,30.5,157.5,117.208,98.6635,99.5285,113.861,17.6795,-15.1978,71.4174,71.1132,3.6,2.8,-44.5,44.5,166.1,99.0
2025-11-19,Arkansas Razorbacks,Winthrop Eagles,Arkansas,Winthrop,Arkansas,Winthrop,-20.5,20.5,167.5,115.917,109.77,97.3407,107.304,18.5762,2.46692,72.9291,74.5273,3.8,2.6,-24.29,24.29,179.7,96.505
2025-11-19,Murray St Racers,Arkansas-Little Rock Trojans,Murray St.,Little Rock,Murray St.,Little Rock,-14.5,14.5,160.5,111.073,103.284,106.856,108.098,4.21756,-4.81365,74.6491,69.0432,2.9,2.9,-14.56,14.56,166.3,87.959
2025-11-19,SMU Mustangs,Arkansas-Pine Bluff Golden Lions,SMU,Arkansas Pine Bluff,SMU,Arkansas Pine Bluff,-36.5,36.5,169.5,117.445,96.1891,102.15,117.867,15.2953,-21.6782,72.1511,73.9068,3.2,2.0,-49.01,49.01,168.5,99.0
2025-11-19,Cornell Big Red,Army Knights,Cornell,Army,Cornell,Army,-15.5,15.5,164.5,110.812,97.6751,112.644,115.934,-1.83237,-18.2589,74.4596,70.1297,2.5,2.3,-23.09,23.09,162.8,95.908
2025-11-19,Ole Miss Rebels,Austin Peay Governors,Mississippi,Austin Peay,Mississippi,Austin Peay,-20.5,20.5,148.5,119.193,99.5431,98.5903,104.545,20.6023,-5.00241,68.3324,72.2231,2.8,2.7,-34.65,34.65,166.0,99.0
2025-11-19,Minnesota Golden Gophers,Chicago St Cougars,Minnesota,Chicago St.,Minnesota,Chicago St.,-25.5,25.5,149.5,111.051,97.7845,101.839,117.153,9.21146,-19.3683,67.4719,70.7021,2.9,2.6,-38.41,38.41,155.8,99.0
2025-11-19,DePaul Blue Demons,Gardner-Webb Bulldogs,DePaul,Gardner Webb,DePaul,Gardner Webb,-21.5,21.5,153.5,107.149,100.419,102.604,114.388,4.54539,-13.9689,71.0581,73.2687,3.0,2.0,-26.25,26.25,161.8,97.303
2025-11-19,Evansville Purple Aces,UT-Arlington Mavericks,Evansville,UT Arlington,Evansville,UT Arlington,-1.5,1.5,142.5,100.264,102.789,108.466,104.237,-8.20204,-1.44775,69.9102,71.3979,3.8,2.5,3.6,-3.6,154.9,37.933
2025-11-19,Texas A&M Aggies,Montana Grizzlies,Texas A&M,Montana St.,Texas A&M,Montana St.,-18.5,18.5,164.5,113.826,104.663,100.552,108.862,13.2732,-4.19846,72.9169,68.6007,3.0,3.0,-24.98,24.98,167.0,96.808
2025-11-19,Northern Iowa Panthers,Northern Illinois Huskies,Northern Iowa,Northern Illinois,Northern Iowa,Northern Illinois,-20.5,20.5,144.5,108.398,103.014,100.551,114.378,7.84757,-11.3649,67.6473,72.1026,3.3,2.2,-27.47,27.47,159.5,97.707
2025-11-19,Yale Bulldogs,Rhode Island Rams,Yale,Rhode Island,Yale,Rhode Island,-8.5,8.5,153.5,116.819,108.934,104.243,104.526,12.5757,4.40848,70.2153,70.2966,2.3,2.7,-12.77,12.77,171.3,85.126
2025-11-19,Iowa Hawkeyes,SE Missouri St Redhawks,Iowa,Southeast Missouri,Iowa,Southeast Missouri,-24.5,24.5,149.5,117.896,101.19,99.71,107.957,18.186,-6.7677,66.5026,73.8471,3.5,3.2,-34.71,34.71,166.0,99.0
2025-11-19,Boise State Broncos,Wichita St Shockers,Boise St.,Wichita St.,Boise St.,Wichita St.,-9.5,9.5,152.5,114.163,112.952,99.5745,105.301,14.5884,7.65078,70.0988,70.8197,3.4,2.9,-12.61,12.61,172.8,84.851
2025-11-19,Duke Blue Devils,Kansas Jayhawks,Duke,Kansas,Duke,Kansas,-10.5,10.5,150.5,123.386,115.5,93.6966,94.6059,29.6895,20.8942,70.9825,70.2013,3.3,3.9,-14.76,14.76,182.1,88.245
2025-11-19,Utah Utes,Fort Wayne Mastodons,Utah,Purdue Fort Wayne,Utah,Purdue Fort Wayne,-13.5,13.5,160.5,111.532,102.519,104.534,110.201,6.99741,-7.68207,72.1365,72.9634,4.5,2.8,-23.4,23.4,167.7,96.071
2025-11-19,Fresno St Bulldogs,Stephen F. Austin Lumberjacks,Fresno St.,Stephen F. Austin,Fresno St.,Stephen F. Austin,2.5,-2.5,147.5,104.316,105.759,107.199,104.456,-2.88305,1.30282,72.2194,70.017,2.5,3.2,2.06,-2.06,161.4,43.021
2025-11-19,San Diego Toreros,Grambling St Tigers,San Diego,Grambling St.,San Diego,Grambling St.,-6.5,6.5,149.5,106.47,100.154,110.293,109.367,-3.82291,-9.21292,71.4554,69.9506,2.1,2.0,-9.14,9.14,157.8,77.701
2025-11-19,Syracuse Orange,Monmouth Hawks,Syracuse,Monmouth,Syracuse,Monmouth,-21.5,21.5,146.5,115.199,102.261,99.1484,108.242,16.051,-5.98101,71.0248,70.5603,3.2,3.1,-30.78,30.78,166.3,98.53
2025-11-19,Pepperdine Waves,New Orleans Privateers,Pepperdine,New Orleans,Pepperdine,New Orleans,-3.5,3.5,154.5,103.143,105.539,109.181,107.488,-6.03806,-1.94815,70.6208,71.8719,2.1,2.4,2.43,-2.43,160.6,41.784
2025-11-19,Texas Longhorns,Rider Broncs,Texas,Rider,Texas,Rider,-30.5,30.5,143.5,114.361,99.5615,97.0622,112.69,17.2993,-13.1281,69.3074,68.4707,3.6,2.0,-41.51,41.51,159.2,99.0
2025-11-19,Washington Huskies,Southern Jaguars,Washington,Southern,Washington,Southern,-20.5,20.5,155.5,116.742,104.001,100.397,106.907,16.3445,-2.90591,69.5639,73.3291,3.0,3.2,-27.15,27.15,170.3,97.607
2025-11-19,Cal Baptist Lancers,UC Riverside Highlanders,Cal Baptist,UC Riverside,Cal Baptist,UC Riverside,-11.5,11.5,141.5,106.603,101.641,107.443,110.523,-0.840444,-8.88215,69.0001,70.4998,3.0,2.3,-13.47,13.47,156.9,86.298
2025-11-19,California Golden Bears,Presbyterian Blue Hose,California,Presbyterian,California,Presbyterian,-20.5,20.5,145.5,113.446,99.5652,102.517,109.943,10.9288,-10.378,72.2261,65.8291,3.3,2.3,-30.02,30.02,158.8,98.372
2025-11-19,Santa Clara Broncos,Idaho State Bengals,Santa Clara,Idaho St.,Santa Clara,Idaho St.,-17.5,17.5,144.5,116.871,105.369,103.925,111.882,12.9454,-6.51298,71.4314,65.9742,2.4,2.6,-26.67,26.67,164.9,97.45
2025-11-19,Stanford Cardinal,Louisiana Ragin' Cajuns,Stanford,Louisiana,Stanford,Louisiana,-20.5,20.5,138.5,109.783,102.278,100.396,110.274,9.38723,-7.99585,72.4298,66.944,3.3,2.5,-25.23,25.23,159.6,96.915
2025-11-19,Nevada Wolf Pack,UC Davis Aggies,Nevada,UC Davis,Nevada,UC Davis,-11.5,11.5,142.5,112.244,100.2,104.878,106.203,7.36631,-6.00284,68.059,70.0036,3.9,1.7,-21.07,21.07,158.4,94.676
2025-11-19,San Francisco Dons,Northwestern St Demons,San Francisco,Northwestern St.,San Francisco,Northwestern St.,-19.5,19.5,146.5,111.299,102.966,101.362,113.935,9.93707,-10.9693,70.1527,68.1241,2.6,2.3,-28.68,28.68,160.0,98.05
