Team,AdjOE,AdjDE,AdjEM,AdjTempo,HomeCourtAdv
Abilene Christian,101.392,105.258,-3.86649,70.9134,2.9
Air Force,98.1789,111.847,-13.6679,66.9521,3.5
Akron,114.755,103.973,10.7821,73.7179,2.6
Alabama,121.384,99.5386,21.8455,75.5544,3.6
Alabama A&M,97.7579,110.278,-12.5202,68.8723,3.0
Alabama St.,101.217,109.823,-8.60597,71.5709,2.3
Albany,99.6835,110.968,-11.285,70.5406,2.1
Alcorn St.,98.6635,113.861,-15.1978,71.1132,2.8
American,100.81,111.547,-10.7368,70.0032,2.1
Appalachian St.,103.315,107.926,-4.61137,66.6203,2.6
Arizona,120.911,94.9649,25.9459,73.3808,3.6
Arizona St.,109.956,100.388,9.56876,71.2947,3.0
Arkansas,115.917,97.3407,18.5762,72.9291,3.8
Arkansas Pine Bluff,96.1891,117.867,-21.6782,73.9068,2.0
Arkansas St.,106.741,108.384,-1.64361,73.739,2.5
Army,97.6751,115.934,-18.2589,70.1297,2.3
Auburn,119.014,99.0434,19.9708,70.6784,3.9
Austin Peay,99.5431,104.545,-5.00241,72.2231,2.7
Ball St.,103.277,111.058,-7.781,69.4584,2.7
Baylor,119.688,98.6727,21.0157,71.0213,3.7
Bellarmine,105.198,119.235,-14.0365,70.4302,2.4
Belmont,109.192,102.508,6.68355,73.5113,2.6
Bethune Cookman,106.564,110.909,-4.34445,71.1003,2.3
Binghamton,99.5127,114.227,-14.7139,69.1926,2.7
Boise St.,114.163,99.5745,14.5884,70.0988,3.4
Boston College,107.193,100.704,6.48917,68.9601,3.0
Boston University,107.261,115.641,-8.37982,66.3485,2.1
Bowling Green,106.691,104.108,2.58296,73.1124,2.9
Bradley,105.746,103.359,2.38675,69.6085,3.8
Brown,100.217,110.097,-9.87992,68.5974,1.8
Bryant,98.1786,111.684,-13.505,70.0276,2.7
Bucknell,100.837,110.064,-9.2268,69.8774,2.7
Buffalo,105.02,112.081,-7.06023,69.628,2.9
Butler,114.886,101.313,13.5737,73.2503,3.1
BYU,123.131,99.2419,23.8891,70.3224,4.1
Cal Baptist,106.603,107.443,-0.840444,69.0001,3.0
Cal Poly,103.11,108.167,-5.05662,76.8688,2.6
Cal St. Bakersfield,101.84,109.344,-7.50456,70.1757,3.0
Cal St. Fullerton,96.9349,110.953,-14.018,74.8435,2.1
California,113.446,102.517,10.9288,72.2261,3.3
Campbell,105.381,108.494,-3.11313,72.08,2.6
Canisius,96.6819,114.872,-18.1905,67.7838,2.4
