OddsTeam,Status,KenPomMatch,Suggestion
Abilene Christian Wildcats,Fuzzy Suggestion,,Abilene Christian
Albany Great Danes,NO MATCH FOUND,,
Arizona St Sun Devils,Fuzzy Suggestion,,Arizona St.
Arizona Wildcats,Fuzzy Suggestion,,Arizona St.
Arkansas Razorbacks,Fuzzy Suggestion,,Arkansas St.
BYU Cougars,NO MATCH FOUND,,
Baylor Bears,Fuzzy Suggestion,,Baylor
Brown Bears,Fuzzy Suggestion,,Brown
Bucknell Bison,Fuzzy Suggestion,,Bucknell
CSU Bakersfield Roadrunners,Fuzzy Suggestion,,Cal St. Bakersfield
Cal Baptist Lancers,Fuzzy Suggestion,,Cal Baptist
Cal Poly Mustangs,Fuzzy Suggestion,,Cal Poly
Charleston Cougars,Fuzzy Suggestion,,Charleston Southern
Charleston Southern,Exact Match,Charleston Southern,
Coastal Carolina Chanticleers,Fuzzy Suggestion,,Coastal Carolina
Colgate Raiders,Fuzzy Suggestion,,Colgate
Colorado Buffaloes,Fuzzy Suggestion,,Colorado St.
Creighton Bluejays,Fuzzy Suggestion,,Creighton
DePaul Blue Demons,NO MATCH FOUND,,
Drake Bulldogs,NO MATCH FOUND,,
Duke Blue Devils,NO MATCH FOUND,,
East Texas A&M Lions,Fuzzy Suggestion,,East Texas A&M
Eastern Illinois Panthers,Fuzzy Suggestion,,Eastern Illinois
Eastern Michigan Eagles,Fuzzy Suggestion,,Eastern Michigan
Fairfield Stags,Fuzzy Suggestion,,Fairfield
Fordham Rams,Fuzzy Suggestion,,Fordham
Furman Paladins,Fuzzy Suggestion,,Furman
Georgia Bulldogs,Fuzzy Suggestion,,Georgia St.
Georgia Tech Yellow Jackets,Fuzzy Suggestion,,Georgia Tech
Gonzaga Bulldogs,Fuzzy Suggestion,,Gonzaga
Hampton Pirates,Fuzzy Suggestion,,Hampton
Hawai'i Rainbow Warriors,NO MATCH FOUND,,
High Point Panthers,Fuzzy Suggestion,,High Point
Hofstra Pride,Fuzzy Suggestion,,Hofstra
IUPUI Jaguars,NO MATCH FOUND,,
Illinois Fighting Illini,NO MATCH FOUND,,
Illinois St Redbirds,Fuzzy Suggestion,,Illinois St.
Indiana St Sycamores,Fuzzy Suggestion,,Indiana St.
Iona Gaels,Fuzzy Suggestion,,Gonzaga
Iowa Hawkeyes,NO MATCH FOUND,,
Jacksonville St Gamecocks,Fuzzy Suggestion,,Jacksonville St.
Kentucky Wildcats,Fuzzy Suggestion,,Kentucky
Lehigh Mountain Hawks,NO MATCH FOUND,,
Lindenwood Lions,Fuzzy Suggestion,,Lindenwood
Louisiana Ragin' Cajuns,Fuzzy Suggestion,,Louisiana
Loyola Marymount Lions,Fuzzy Suggestion,,Loyola Marymount
Manhattan Jaspers,Fuzzy Suggestion,,Manhattan
Maryland-Eastern Shore Hawks,Fuzzy Suggestion,,Maryland Eastern Shore
McNeese Cowboys,Fuzzy Suggestion,,McNeese
Michigan Wolverines,Fuzzy Suggestion,,Michigan St.
Milwaukee Panthers,Fuzzy Suggestion,,Milwaukee
Miss Valley St Delta Devils,NO MATCH FOUND,,
Montana Grizzlies,Fuzzy Suggestion,,Montana St.
New Orleans Privateers,Fuzzy Suggestion,,New Orleans
Norfolk St Spartans,Fuzzy Suggestion,,Norfolk St.
North Carolina Central Eagles,Fuzzy Suggestion,,North Carolina Central
North Carolina Tar Heels,Fuzzy Suggestion,,North Carolina
North Texas Mean Green,Fuzzy Suggestion,,North Texas
Northern Iowa Panthers,Fuzzy Suggestion,,Northern Iowa
Northwestern Wildcats,Fuzzy Suggestion,,Northwestern St.
Ole Miss Rebels,NO MATCH FOUND,,
Providence Friars,Fuzzy Suggestion,,Providence
Rhode Island Rams,Fuzzy Suggestion,,Rhode Island
Rice Owls,Fuzzy Suggestion,,Rice
Rutgers Scarlet Knights,NO MATCH FOUND,,
SIU-Edwardsville Cougars,NO MATCH FOUND,,
Sacramento St Hornets,Fuzzy Suggestion,,Sacramento St.
Saint Mary's Gaels,Fuzzy Suggestion,,Saint Mary's
Samford Bulldogs,Fuzzy Suggestion,,Samford
South Carolina St Bulldogs,Fuzzy Suggestion,,South Carolina St.
Stephen F. Austin Lumberjacks,Fuzzy Suggestion,,Stephen F. Austin
Stonehill Skyhawks,Fuzzy Suggestion,,Stonehill
TCU Horned Frogs,NO MATCH FOUND,,
Tarleton State Texans,Fuzzy Suggestion,,Tarleton St.
Texas A&M Aggies,Fuzzy Suggestion,,Texas A&M
Texas Tech Red Raiders,Fuzzy Suggestion,,Texas Tech
The Citadel Bulldogs,Fuzzy Suggestion,,The Citadel
Towson Tigers,Fuzzy Suggestion,,Towson
Troy Trojans,NO MATCH FOUND,,
Tulane Green Wave,NO MATCH FOUND,,
UAB Blazers,NO MATCH FOUND,,
UC Davis Aggies,Fuzzy Suggestion,,UC Davis
UCF Knights,NO MATCH FOUND,,
UCLA Bruins,NO MATCH FOUND,,
UConn Huskies,NO MATCH FOUND,,
USC Trojans,NO MATCH FOUND,,
Utah Tech Trailblazers,NO MATCH FOUND,,
Washington Huskies,Fuzzy Suggestion,,Washington St.
Washington St Cougars,Fuzzy Suggestion,,Washington St.
West Georgia Wolves,Fuzzy Suggestion,,West Georgia
Western Illinois Leathernecks,Fuzzy Suggestion,,Western Illinois
Xavier Musketeers,NO MATCH FOUND,,
