Team,AdjOE,AdjDE,AdjEM,AdjTempo
Abilene Christian,100.415,103.571,-3.15579,72.3699
Air Force,97.6767,110.769,-13.0923,68.1382
Akron,113.485,102.415,11.0706,74.0614
Alabama,120.267,97.4862,22.7806,77.1697
Alabama A&M,97.4493,110.973,-13.5238,70.6774
Alabama St.,100.469,108.139,-7.66992,72.5227
Albany,99.4726,109.619,-10.1463,72.3989
Alcorn St.,98.8074,113.281,-14.4738,72.2241
American,99.8551,110.956,-11.1008,70.7741
Appalachian St.,100.811,106.42,-5.60856,66.7352
Arizona,120.811,95.1779,25.6331,74.3498
Arizona St.,110.753,100.185,10.5688,72.6334
Arkansas,116.644,95.572,21.072,73.3537
Arkansas Pine Bluff,94.9858,116.978,-21.9922,74.4933
Arkansas St.,105.891,107.384,-1.49349,74.2499
Army,98.4115,114.374,-15.9623,71.8579
Auburn,117.822,98.8415,18.9801,71.2618
Austin Peay,99.5514,105.654,-6.10249,72.3154
Ball St.,104.522,110.797,-6.27428,70.2493
Baylor,118.596,96.1959,22.3997,70.9145
Bellarmine,103.026,115.951,-12.9258,71.4032
Belmont,108.92,103.817,5.10295,74.1431
Bethune Cookman,103.059,108.38,-5.32163,72.039
Binghamton,97.3762,112.525,-15.1488,69.2335
Boise St.,115.858,99.0862,16.772,71.5137
Boston College,105.996,100.508,5.48842,69.9443
Boston University,105.262,110.646,-5.38459,67.1659
Bowling Green,104.853,102.43,2.42381,72.4467
Bradley,105.38,102.6,2.77989,70.3585
Brown,100.563,108.412,-7.84891,69.8898
Bryant,99.6929,110.991,-11.2978,71.8844
Bucknell,100.314,107.677,-7.36316,69.9832
Buffalo,104.135,111.253,-7.11765,70.205
Butler,112.994,100.189,12.805,73.7399
BYU,122.095,98.7857,23.3089,69.8277
Cal Baptist,106.461,107.055,-0.594044,69.9792
Cal Poly,102.813,107.918,-5.10506,76.7976
Cal St. Bakersfield,99.7784,106.196,-6.41748,71.4011
Cal St. Fullerton,96.8116,110.647,-13.8357,74.7231
California,110.347,100.13,10.2163,72.2534
Campbell,104.525,107.911,-3.38581,72.5392
Canisius,97.0721,113.573,-16.501,68.837
Central Arkansas,97.6744,114.008,-16.3332,71.9375
Central Connecticut,94.245,105.793,-11.5484,69.0746
Central Michigan,101.095,111.429,-10.3336,70.9844
Charleston,110.263,112.611,-2.3481,70.5762
Charleston Southern,101.655,113.097,-11.4421,72.8814
Charlotte,106.395,109.909,-3.51453,66.8606
Chattanooga,110.037,111.686,-1.64867,70.5159
Chicago St.,96.5838,117.462,-20.878,72.6581
Cincinnati,108.694,90.8963,17.7975,74.5413
Clemson,118.438,96.2725,22.1657,68.0181
Cleveland St.,105.78,113.527,-7.74683,72.0478
Coastal Carolina,102.031,108.8,-6.76911,69.9385
Colgate,106.176,109.302,-3.12602,71.0508
Colorado,111.739,104.964,6.77465,70.9738
Colorado St.,117.718,104.232,13.486,69.5911
Columbia,103.835,108.627,-4.79181,71.4808
Connecticut,122.609,94.5779,28.0314,69.2038
Coppin St.,91.4008,114.852,-23.4508,71.313
Cornell,108.929,112.358,-3.4296,74.7659
Creighton,116.541,101.633,14.908,70.8568
CSUN,101.884,107.672,-5.78798,76.253
Dartmouth,99.7447,109.355,-9.61024,73.8194
Davidson,107.681,104.052,3.6286,68.6563
Dayton,110.698,97.3874,13.3104,70.1183
Delaware,105.531,111.003,-5.47195,71.2447
Delaware St.,95.135,113.652,-18.5167,70.4156
Denver,101.965,113.119,-11.1547,70.9676
DePaul,104.432,100.357,4.07544,71.6283
Detroit Mercy,99.6673,111.855,-12.1874,73.2298
Drake,107.172,106.08,1.09146,70.2668
Drexel,102.5,109.497,-6.99713,69.259
Duke,122.373,93.0547,29.3187,70.9248
Duquesne,106.584,101.618,4.96644,72.1627
East Carolina,103.007,104.783,-1.77541,72.5872
East Tennessee St.,104.903,105.394,-0.491268,70.6885
East Texas A&M,96.292,110.988,-14.6957,73.269
Eastern Illinois,95.7619,107.7,-11.9385,69.7415
Eastern Kentucky,105.309,110.605,-5.2961,72.3822
Eastern Michigan,102.651,107.475,-4.82441,71.1301
Eastern Washington,106.485,110.865,-4.38067,72.6217
Elon,105.781,112.971,-7.18991,70.4632
Evansville,99.459,107.757,-8.29767,70.4788
Fairfield,100.402,108.404,-8.00193,72.0409
Fairleigh Dickinson,98.3116,115.423,-17.1115,73.8216
FIU,102.542,107.315,-4.77334,73.4573
Florida,119.497,93.4085,26.0884,75.6643
Florida A&M,95.248,113.296,-18.0479,73.2962
Florida Atlantic,110.16,107.967,2.19357,71.7435
Florida Gulf Coast,105.919,110.918,-4.99876,70.2667
Florida St.,112.293,99.5309,12.7621,74.25
Fordham,102.638,111.107,-8.46878,68.9312
Fresno St.,103.337,106.694,-3.35749,73.1796
Furman,105.278,106.903,-1.62504,70.796
Gardner Webb,99.0008,112.126,-13.1252,73.2105
George Mason,110.057,100.736,9.321,69.614
George Washington,114.369,101.886,12.4837,73.9257
Georgetown,111.132,99.9762,11.156,71.3276
Georgia,117.515,97.3854,20.13,73.9292
Georgia Southern,108.065,114.384,-6.31946,75.506
Georgia St.,98.1955,109.971,-11.7753,70.6418
Georgia Tech,104.692,96.1563,8.5357,72.023
Gonzaga,121.604,92.4837,29.1202,73.8136
Grambling St.,98.9361,109.073,-10.1372,70.5056
Grand Canyon,111.57,103.276,8.29429,72.7524
Green Bay,101.266,115.438,-14.1714,70.331
Hampton,101.462,108.545,-7.08218,71.7482
Harvard,103.614,108.74,-5.12669,70.0141
Hawaii,106.864,99.4957,7.36807,71.5788
High Point,115.06,104.486,10.5749,71.5482
Hofstra,103.135,104.091,-0.956406,70.0159
Holy Cross,99.8269,114.811,-14.9846,71.3961
Houston,117.944,88.1365,29.8071,67.0992
Houston Christian,99.1189,109.367,-10.2478,69.9887
Howard,101.452,113.981,-12.5291,71.7157
Idaho,107.055,112.162,-5.10694,69.7877
Idaho St.,102.124,108.743,-6.61873,67.521
Illinois,123.071,94.7235,28.3479,74.2921
Illinois Chicago,105.98,103.596,2.38374,72.9755
Illinois St.,107.049,104.051,2.99896,69.7125
Incarnate Word,105.903,110.854,-4.9512,70.1527
Indiana,120.768,97.3864,23.3816,70.7962
Indiana St.,104.466,107.885,-3.41979,74.1162
Iona,105.874,109.231,-3.35632,75.0502
Iowa,117.15,99.8964,17.2539,66.6133
Iowa St.,117.991,91.1279,26.8627,72.5334
IU Indy,101.188,116.668,-15.4802,77.6641
Jackson St.,101.844,110.262,-8.41761,72.8266
Jacksonville,99.7841,106.93,-7.14613,70.6759
Jacksonville St.,103.796,104.335,-0.538475,69.7398
James Madison,107.503,109.332,-1.82815,69.6054
Kansas,115.557,94.3895,21.167,70.7139
Kansas City,99.5943,113.98,-14.3854,73.1834
Kansas St.,114.051,99.4447,14.6067,73.1357
Kennesaw St.,107.904,105.998,1.90648,75.375
Kent St.,112.015,109.447,2.56825,72.9603
Kentucky,121.653,93.4701,28.1826,73.5831
La Salle,103.964,108.014,-4.04966,69.0415
Lafayette,99.9013,112.316,-12.415,70.2727
Lamar,102.011,107.17,-5.15942,69.3998
Le Moyne,99.1089,112.98,-13.8707,70.9819
Lehigh,97.8163,108.064,-10.2472,71.7557
Liberty,114.776,104.427,10.3488,68.2638
Lindenwood,95.7583,110.474,-14.7152,74.2252
Lipscomb,103.277,111.014,-7.73713,69.7127
Little Rock,103.144,108.946,-5.80222,69.9981
LIU,99.7262,108.208,-8.48142,73.2638
Long Beach St.,99.518,106.985,-7.46688,69.979
Longwood,103.977,107.493,-3.51588,72.2374
Louisiana,101.849,107.757,-5.90843,67.5466
Louisiana Monroe,98.4666,115.876,-17.4097,72.4162
Louisiana Tech,102.448,105.691,-3.2435,68.9009
Louisville,124.235,97.922,26.3129,74.5497
Loyola Chicago,107.018,105.956,1.06116,70.8452
Loyola Marymount,107.055,102.814,4.24125,69.0647
Loyola MD,97.788,109.567,-11.7793,70.2193
LSU,115.563,98.1892,17.3741,71.3285
Maine,94.8329,104.795,-9.9618,68.8125
Manhattan,106.821,113.323,-6.50167,71.8702
Marist,98.6054,99.4598,-0.854451,69.0263
Marquette,113.359,97.6748,15.6846,73.3565
Marshall,105.968,105.794,0.17377,74.3856
Maryland,109.988,95.826,14.1622,70.5088
Maryland Eastern Shore,91.4716,108.456,-16.9848,68.4068
Massachusetts,101.602,104.305,-2.70319,74.7222
McNeese,108.681,102.865,5.81581,70.2819
Memphis,113.449,98.6136,14.8352,73.5406
