"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.0188,270,70.9134,164,102.13,222,101.392,281,108.12,183,105.258,127,-3.86649,203
"2026","Air Force",68.5813,252,66.9521,352,91.2993,316,98.1789,333,111.34,232,111.847,299,-13.6679,328
"2026","Akron",73.9042,92,73.7179,43,120.571,53,114.755,61,107.258,174,103.973,104,10.7821,80
"2026","Alabama",75.6708,50,75.5544,4,120.521,54,121.384,12,108.068,182,99.5386,54,21.8455,20
"2026","Alabama A&M",69.2,235,68.8723,296,93.1709,304,97.7579,337,109.113,200,110.278,251,-12.5202,317
"2026","Alabama St.",74.5875,70,71.5709,127,92.7026,308,101.217,284,120.269,314,109.823,233,-8.60597,277
"2026","Albany",72.2167,138,70.5406,190,81.782,360,99.6835,318,112.581,251,110.968,272,-11.285,303
"2026","Alcorn St.",71.3225,163,71.1132,152,90.709,319,98.6635,329,121.644,325,113.861,325,-15.1978,345
"2026","American",76.0917,46,70.0032,233,98.5039,261,100.81,295,119.696,310,111.547,289,-10.7368,299
"2026","Appalachian St.",65.5437,343,66.6203,357,106.256,178,103.315,238,109.992,206,107.926,177,-4.61137,213
"2026","Arizona",72.8562,120,73.3808,59,116.232,80,120.911,14,91.4804,37,94.9649,12,25.9459,11
"2026","Arizona St.",71.1312,169,71.2947,148,106.054,182,109.956,110,94.6513,63,100.388,64,9.56876,86
"2026","Arkansas",73.8844,93,72.9291,72,116.543,77,115.917,51,93.9265,57,97.3407,24,18.5762,35
"2026","Arkansas Pine Bluff",74.1475,82,73.9068,35,91.8622,312,96.1891,353,127.523,347,117.867,361,-21.6782,363
"2026","Arkansas St.",76.3,43,73.739,40,104.677,199,106.741,166,113.774,261,108.384,190,-1.64361,161
"2026","Army",69.7958,210,70.1297,219,89.6307,325,97.6751,338,128.877,355,115.934,353,-18.2589,356
"2026","Auburn",69.034,240,70.6784,180,124.674,33,119.014,27,98.5106,97,99.0434,43,19.9708,30
"2026","Austin Peay",73.75,96,72.2231,100,94.2259,291,99.5431,321,88.2609,25,104.545,117,-5.00241,218
"2026","Ball St.",66.6,315,69.4584,264,96.4842,283,103.277,240,108.87,196,111.058,274,-7.781,261
"2026","Baylor",74.0792,86,71.0213,159,120.445,57,119.688,19,103.882,149,98.6727,36,21.0157,25
"2026","Bellarmine",72.6583,127,70.4302,194,99.6968,244,105.198,205,135.782,364,119.235,363,-14.0365,333
"2026","Belmont",74.2917,80,73.5113,54,112.103,117,109.192,119,90.6099,33,102.508,88,6.68355,104
"2026","Bethune Cookman",70.5704,184,71.1003,153,105.615,187,106.564,175,130.534,361,110.909,266,-4.34445,210
"2026","Binghamton",68.4563,256,69.1926,276,93.9651,294,99.5127,322,118.419,295,114.227,333,-14.7139,341
"2026","Boise St.",71.2417,166,70.0988,221,115.125,89,114.163,65,93.5044,53,99.5745,55,14.5884,55
"2026","Boston College",67.8396,274,68.9601,289,103.331,212,107.193,155,92.4517,44,100.704,73,6.48917,106
"2026","Boston University",63.6733,361,66.3485,360,112.985,111,107.261,154,122.192,328,115.641,350,-8.37982,271
"2026","Bowling Green",73.2292,113,73.1124,67,115.355,88,106.691,168,89.597,30,104.108,106,2.58296,126
"2026","Bradley",68.975,242,69.6085,253,101.231,234,105.746,191,99.9827,111,103.359,99,2.38675,131
"2026","Brown",64.8569,355,68.5974,305,97.8682,266,100.217,307,114.021,266,110.097,245,-9.87992,289
"2026","Bryant",69.5938,220,70.0276,229,87.2668,340,98.1786,334,107.833,180,111.684,294,-13.505,326
"2026","Bucknell",68.85,245,69.8774,240,98.7748,258,100.837,294,108.19,186,110.064,244,-9.2268,284
"2026","Buffalo",65.8958,336,69.628,252,118.652,63,105.02,207,105.575,164,112.081,305,-7.06023,250
"2026","Butler",78.2344,18,73.2503,64,122.357,43,114.886,59,93.2292,49,101.313,78,13.5737,64
"2026","BYU",68.7594,247,70.3224,200,123.396,39,123.131,7,99.5862,108,99.2419,45,23.8891,16
"2026","Cal Baptist",68.3792,260,69.0001,287,109.734,137,106.603,172,95.0492,68,107.443,168,-0.840444,153
"2026","Cal Poly",78.7,13,76.8688,2,94.9817,287,103.11,242,110.515,221,108.167,184,-5.05662,219
"2026","Cal St. Bakersfield",69.1312,236,70.1757,214,99.1843,254,101.84,272,115.661,281,109.344,210,-7.50456,259
"2026","Cal St. Fullerton",79.8333,6,74.8435,12,91.6836,315,96.9349,346,112.847,254,110.953,270,-14.018,332
"2026","California",74.5625,72,72.2261,99,118.161,69,113.446,71,97.2267,84,102.517,89,10.9288,78
"2026","Campbell",73.1583,115,72.08,107,99.6049,246,105.381,201,114.808,274,108.494,193,-3.11313,192
"2026","Canisius",63.7625,359,67.7838,336,88.7651,330,96.6819,349,126.987,343,114.872,344,-18.1905,355
"2026","Central Arkansas",72.1509,143,70.895,166,83.1517,357,98.0395,335,120.564,317,114.46,339,-16.4209,346
"2026","Central Connecticut",70.7667,180,69.2529,274,87.1949,341,95.8694,355,100.315,115,106.79,151,-10.9203,300
"2026","Central Michigan",66.525,320,69.5077,261,106.097,181,102.489,255,103.941,151,110.932,268,-8.44293,273
"2026","Charleston",66.5281,319,69.2559,273,113.733,103,109.783,111,119.264,303,112.253,308,-2.46971,178
"2026","Charleston Southern",74.4031,75,72.439,88,102.458,217,100.294,303,112.291,245,113.208,319,-12.9141,320
"2026","Charlotte",64.7875,356,65.7725,365,112.266,116,108.705,128,110.606,223,111.278,284,-2.57236,181
"2026","Chattanooga",68.1458,266,69.7455,244,101.709,229,110.404,105,136.488,365,113.928,327,-3.52403,195
"2026","Chicago St.",73.7719,95,70.7021,178,93.7605,299,97.7845,336,122.991,331,117.153,358,-19.3683,361
"2026","Cincinnati",77.4,31,74.1429,27,101.354,232,108.155,135,78.8302,4,91.1026,2,17.0522,42
"2026","Clemson",66.37,326,67.1649,349,127.811,20,119.101,26,88.5747,27,98.4462,31,20.6547,27
"2026","Cleveland St.",75.9531,48,73.7281,42,109.674,138,107.265,153,127.413,346,114.437,338,-7.17202,254
"2026","Coastal Carolina",71.2583,165,69.2221,275,98.3625,262,102.96,246,101.264,124,109.473,214,-6.51236,243
"2026","Colgate",67.415,293,69.1145,280,107.022,164,107.876,138,113.831,263,109.849,234,-1.97345,169
"2026","Colorado",72.1382,144,71.1482,151,126.836,24,115.017,58,110.347,219,105.647,137,9.37075,88
"2026","Colorado St.",66.5687,316,67.9055,330,138.612,1,120.145,16,106.804,170,105.286,128,14.8591,53
"2026","Columbia",67.2542,300,70.18,213,108.324,152,105.708,195,105.972,165,109.539,218,-3.83109,201
"2026","Connecticut",70.6031,183,69.7136,247,128.715,17,123.371,6,87.8522,24,95.8043,15,27.5665,7
"2026","Coppin St.",69.7,215,70.651,182,86.3954,348,91.0193,364,121.485,323,115.567,349,-24.5482,364
"2026","Cornell",75.6042,52,74.4596,19,115.863,82,110.812,100,115.87,285,112.644,311,-1.83237,164
"2026","Creighton",69.975,203,70.0229,230,114.416,101,117.804,33,99.3831,105,101.835,83,15.9682,49
"2026","CSUN",75.2906,61,75.1331,8,103.804,209,105.715,194,115.012,277,109.527,217,-3.81161,199
"2026","Dartmouth",72.9917,117,73.9296,33,95.0147,286,101.072,287,110.564,222,112.188,307,-11.1166,302
"2026","Davidson",68.9625,243,69.6588,249,114.552,96,109.237,118,101.22,123,105.454,134,3.78299,119
"2026","Dayton",69.8219,208,69.3119,269,116.083,81,113.15,77,98.4452,96,101.056,77,12.0934,74
"2026","Delaware",65.9,335,70.2887,206,105.24,193,106.158,183,124.869,335,111.836,298,-5.67803,228
"2026","Delaware St.",65.9094,334,69.6413,251,83.074,358,93.746,361,113.364,256,114.215,332,-20.4694,362
"2026","Denver",69.1281,237,69.7397,245,108.188,154,104.284,221,117.871,292,115.721,351,-11.437,305
"2026","DePaul",70.9812,174,71.0581,155,104.121,205,107.149,157,96.7217,81,102.604,91,4.54539,112
"2026","Detroit Mercy",77.1875,32,73.6619,45,96.8317,275,100.925,290,122.319,329,112.835,315,-11.9097,311
"2026","Drake",66.2931,328,68.7201,302,104.329,204,106.082,185,100.379,117,104.929,121,1.15314,139
"2026","Drexel",68.4542,257,68.1834,321,96.0116,285,102.051,265,120.021,312,110.839,264,-8.78846,280
"2026","Duke",74.1594,81,70.9825,162,128.872,16,123.386,4,79.577,6,93.6966,9,29.6895,2
"2026","Duquesne",72.8132,122,71.7456,122,113.171,108,108.814,127,103.934,150,103.607,100,5.20713,110
"2026","East Carolina",77.1375,34,71.9421,113,105.947,183,103.844,228,114.227,269,105.588,136,-1.74376,163
"2026","East Tennessee St.",68.4042,259,69.9863,234,105.66,186,106.515,177,100.233,114,106.599,148,-0.0840264,144
"2026","East Texas A&M",73.55,106,71.9068,115,87.4626,338,96.9821,345,111.698,237,111.24,282,-14.2579,335
"2026","Eastern Illinois",67.175,304,68.8503,297,89.0685,329,96.7442,348,112.439,246,108.968,199,-12.2241,313
"2026","Eastern Kentucky",74.1062,84,71.7116,124,94.9624,288,105.966,186,120.868,319,111.198,279,-5.23208,222
"2026","Eastern Michigan",72.1625,142,70.7944,170,101.457,230,102.55,253,99.4744,107,109.667,223,-7.11716,253
"2026","Eastern Washington",71.0819,172,72.0068,110,101.907,225,107.401,151,117.634,289,111.412,286,-4.01029,204
"2026","Elon",72.7435,126,70.2802,207,121.877,45,107.795,139,119.179,302,114.716,343,-6.92088,249
"2026","Evansville",66.4938,323,69.9102,239,91.8307,313,100.264,304,120.441,315,108.466,191,-8.20204,269
"2026","Fairfield",70.5544,186,71.3798,142,99.3301,250,101.234,283,101.396,126,109.662,222,-8.42811,272
"2026","Fairleigh Dickinson",73.7469,99,73.9983,31,91.7876,314,99.7472,317,124.457,332,118.055,362,-18.3081,357
"2026","FIU",77.4437,30,73.5798,50,94.8363,289,104.134,223,125.25,337,108.347,188,-4.21298,209
"2026","Florida",79.8406,5,75.154,7,109.945,134,119.751,17,94.0879,58,93.1363,6,26.6151,9
"2026","Florida A&M",77.8313,26,72.5852,83,82.0991,359,95.2099,358,121.487,324,113.244,320,-18.0344,352
"2026","Florida Atlantic",68.8153,246,71.2187,150,114.433,100,111.155,94,113.784,262,108.869,197,2.28658,132
"2026","Florida Gulf Coast",72.3333,134,69.803,243,117.973,71,108.65,130,128.889,356,111.078,275,-2.42767,176
"2026","Florida St.",78.4083,14,73.6532,47,121.7,47,113.175,76,92.7158,46,100.488,69,12.6869,69
"2026","Fordham",64.5875,357,67.6531,340,100.753,238,103.477,235,107.692,177,111.624,292,-8.14679,268
"2026","Fresno St.",71.0813,173,72.2194,101,104.076,206,104.316,220,98.8531,101,107.199,161,-2.88305,185
"2026","Furman",68.5542,253,69.5765,257,90.1569,322,104.484,214,111.792,240,107.596,173,-3.11194,191
"2026","Gardner Webb",72.4958,130,73.2687,63,92.9625,306,100.419,299,128.426,352,114.388,337,-13.9689,330
"2026","George Mason",69.25,234,68.2602,317,108.403,150,108.677,129,84.9234,12,99.4049,46,9.27209,90
"2026","George Washington",75.2844,62,73.5547,52,122.129,44,116.034,49,92.4498,43,102.551,90,13.4831,66
"2026","Georgetown",70.3469,194,70.9488,163,113.409,106,112.59,80,97.5163,88,99.9161,59,12.6742,70
"2026","Georgia",78.01,21,75.0398,10,127.526,21,117.678,35,79.3383,5,98.7825,39,18.8951,34
"2026","Georgia Southern",77.9042,25,74.7804,13,118.889,62,108.99,123,118.433,296,114.996,346,-6.00671,236
