HomeTeam,AwayTeam,Home_norm,Away_norm,Home_resolved,Away_resolved
Rutgers,American,rutgers,american,Rutgers,American
Buffalo,Vermont,buffalo,vermont,Buffalo,Vermont
Kentucky,Michigan St.,kentucky,michigan st,Kentucky,Michigan St.
Boston College,Hampton,boston college,hampton,Boston College,Hampton
Columbia,Boston University,columbia,boston university,Columbia,Boston University
Brown,Holy Cross,brown,holy cross,Brown,Holy Cross
Delaware,Saint Peter's,delaware,saint peters,Delaware,Saint Peter's
Detroit Mercy,Eastern Michigan,detroit mercy,eastern michigan,Detroit Mercy,Eastern Michigan
Drexel,NJIT,drexel,njit,Drexel,NJIT
UNC Wilmington,East Carolina,unc wilmington,east carolina,UNC Wilmington,East Carolina
Kent St.,Eastern Kentucky,kent st,eastern kentucky,Kent St.,Eastern Kentucky
Florida St.,Tennessee Martin,florida st,tennessee martin,Florida St.,Tennessee Martin
George Mason,Jacksonville,george mason,jacksonville,George Mason,Jacksonville
Iona,Princeton,iona,princeton,Iona,Princeton
James Madison,Towson,james madison,towson,James Madison,Towson
Lehigh,Saint Francis,lehigh,saint francis,Lehigh,Saint Francis
Longwood,Maryland Eastern Shore,longwood,maryland eastern shore,Longwood,Maryland Eastern Shore
Morgan St.,North Carolina A&T,morgan st,north carolina at,Morgan St.,North Carolina A&T
North Carolina,Navy,north carolina,navy,North Carolina,Navy
Providence,New Hampshire,providence,new hampshire,Providence,New Hampshire
Seton Hall,New Haven,seton hall,new haven,Seton Hall,New Haven
Xavier,Old Dominion,xavier,old dominion,Xavier,Old Dominion
South Carolina,Radford,south carolina,radford,South Carolina,Radford
Georgia Tech,Georgia Southern,georgia tech,georgia southern,Georgia Tech,Georgia Southern
Texas St.,Abilene Christian,texas st,abilene christian,Texas St.,Abilene Christian
LSU,Alcorn St.,lsu,alcorn st,LSU,Alcorn St.
Arkansas,Winthrop,arkansas,winthrop,Arkansas,Winthrop
Murray St.,Little Rock,murray st,little rock,Murray St.,Little Rock
SMU,Arkansas Pine Bluff,smu,arkansas pine bluff,SMU,Arkansas Pine Bluff
Cornell,Army,cornell,army,Cornell,Army
Mississippi,Austin Peay,mississippi,austin peay,Mississippi,Austin Peay
Minnesota,Chicago St.,minnesota,chicago st,Minnesota,Chicago St.
DePaul,Gardner Webb,depaul,gardner webb,DePaul,Gardner Webb
Evansville,UT Arlington,evansville,ut arlington,Evansville,UT Arlington
Texas A&M,Montana St.,texas am,montana st,Texas A&M,Montana St.
Northern Iowa,Northern Illinois,northern iowa,northern illinois,Northern Iowa,Northern Illinois
Yale,Rhode Island,yale,rhode island,Yale,Rhode Island
Iowa,Southeast Missouri,iowa,southeast missouri,Iowa,Southeast Missouri
Boise St.,Wichita St.,boise st,wichita st,Boise St.,Wichita St.
Duke,Kansas,duke,kansas,Duke,Kansas
Utah,Purdue Fort Wayne,utah,purdue fort wayne,Utah,Purdue Fort Wayne
Fresno St.,Stephen F. Austin,fresno st,stephen f austin,Fresno St.,Stephen F. Austin
San Diego,Grambling St.,san diego,grambling st,San Diego,Grambling St.
Syracuse,Monmouth,syracuse,monmouth,Syracuse,Monmouth
Pepperdine,New Orleans,pepperdine,new orleans,Pepperdine,New Orleans
Texas,Rider,texas,rider,Texas,Rider
Washington,Southern,washington,southern,Washington,Southern
Cal Baptist,UC Riverside,cal baptist,uc riverside,Cal Baptist,UC Riverside
California,Presbyterian,california,presbyterian,California,Presbyterian
Santa Clara,Idaho St.,santa clara,idaho st,Santa Clara,Idaho St.
Stanford,Louisiana,stanford,louisiana,Stanford,Louisiana
Nevada,UC Davis,nevada,uc davis,Nevada,UC Davis
San Francisco,Northwestern St.,san francisco,northwestern st,San Francisco,Northwestern St.
San Diego St.,Troy,san diego st,troy,San Diego St.,Troy
UCLA,Sacramento St.,ucla,sacramento st,UCLA,Sacramento St.
