Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/21/2025,Yale Bulldogs,Green Bay Phoenix,Yale,Green Bay,Yale,Green Bay,-17.5,17.5,148.5,117.466,100.715,106.872,114.106,10.5941,-13.391,69.5499,68.9762,2.3,2.7,69.26186202,81.5,70.6,152.1,-19.14,19.14,96.047,19.1,Yale,Yale 82 – Green Bay 71,1.64,-1.64,HOME,Yale,1.64,3.6
11/21/2025,Tulane Green Wave,Utah State Aggies,Tulane,Utah St.,Tulane,Utah St.,10.5,-10.5,151.5,110.293,117.29,110.116,100.549,0.177639,16.7415,68.4912,70.4818,2.7,4.1,69.47224368,74.7,77.5,152.2,8.54,-8.54,19.421,8.5,Utah St.,Tulane 75 – Utah St. 78,1.96,-1.96,HOME,Tulane,1.96,0.7
11/21/2025,IUPUI Jaguars,Alabama St Hornets,IU Indy,Alabama St.,IU Indy,Alabama St.,-4.5,4.5,183.5,104.385,100.681,118.313,109.607,-13.9287,-8.92615,77.9272,71.2242,2.7,2.3,74.42508053,81.1,80,161.1,0.75,-0.75,46.866,0.8,Alabama St.,IU Indy 81 – Alabama St. 80,-5.25,5.25,AWAY,Alabama St.,5.25,-22.4
11/21/2025,Butler Bulldogs,South Carolina Gamecocks,Butler,South Carolina,Butler,South Carolina,-3.5,3.5,150.5,115.161,112.509,101.564,103.063,13.5961,9.44649,72.8641,69.188,3.1,3.3,70.97848396,79.2,74.3,153.4,-6.36,6.36,74.254,6.4,Butler,Butler 79 – South Carolina 74,2.86,-2.86,HOME,Butler,2.86,2.9
11/21/2025,UT-Arlington Mavericks,Campbell Fighting Camels,UT Arlington,Campbell,UT Arlington,Campbell,1.5,-1.5,153.5,105.154,106.627,105.598,110.502,-0.44463,-3.87574,70.7629,72.0244,2.5,2.6,71.38807744,78.4,74.4,152.7,-5.2,5.2,70.403,5.2,UT Arlington,UT Arlington 78 – Campbell 74,6.7,-6.7,HOME,UT Arlington,6.7,-0.8
11/21/2025,Boston College Eagles,Davidson Wildcats,Boston College,Davidson,Boston College,Davidson,1.5,-1.5,138.5,106.135,109.499,99.5906,105.736,6.54439,3.76289,68.5311,69.403,3,2.8,68.9642943,74.7,70.4,145.2,-5.22,5.22,70.468,5.2,Boston College,Boston College 75 – Davidson 70,6.72,-6.72,HOME,Boston College,6.72,6.7
11/21/2025,BYU Cougars,Wisconsin Badgers,BYU,Wisconsin,BYU,Wisconsin,-4.5,4.5,163.5,123.44,122.525,99.6893,98.7165,23.7512,23.8088,70.4119,69.9295,4.1,2.8,70.16987092,80.2,75.7,155.9,-4.47,4.47,67.807,4.5,BYU,BYU 80 – Wisconsin 76,-0.03,0.03,AWAY,Wisconsin,0.03,-7.6
11/21/2025,Charleston Cougars,Massachusetts Minutemen,Charleston,Massachusetts,Charleston,Massachusetts,-3.5,3.5,160.5,110.209,103.902,112.462,106.743,-2.25298,-2.84166,69.0646,75.1771,2.8,3.3,71.99133594,79.6,76.3,156,-3.5,3.5,64.198,3.5,Charleston,Charleston 80 – Massachusetts 76,0,0,HOME,Charleston,0,-4.5
11/21/2025,Virginia Cavaliers,Northwestern Wildcats,Virginia,Northwestern,Virginia,Northwestern,-3.5,3.5,146.5,119.048,116.076,101.406,99.3596,17.6419,16.716,68.1743,68.1944,3.4,2.8,68.18434852,76.3,72.3,148.6,-4.37,4.37,67.449,4.4,Virginia,Virginia 76 – Northwestern 72,0.87,-0.87,HOME,Virginia,0.87,2.1
11/21/2025,Akron Zips,Iona Gaels,Akron,Iona,Akron,Iona,-11.5,11.5,174.5,114.96,107.512,104.154,108.788,10.8052,-1.27591,73.5496,74.6721,2.6,2.8,74.10659959,84.3,77,161.3,-11.81,11.81,87.748,11.8,Akron,Akron 84 – Iona 77,0.31,-0.31,HOME,Akron,0.31,-13.2
11/21/2025,Air Force Falcons,SIU-Edwardsville Cougars,Air Force,SIUE,Air Force,SIUE,2.5,-2.5,129.5,98.1245,100.798,111.89,103.655,-13.765,-2.85764,66.6212,68.2518,3.5,2.8,67.42664311,70,69.8,139.7,3.5,-3.5,35.799,3.5,SIUE,Air Force 70 – SIUE 70,-1,1,AWAY,SIUE,1,10.2
11/21/2025,Lehigh Mountain Hawks,Columbia Lions,Lehigh,Columbia,Lehigh,Columbia,2.5,-2.5,144.5,100.261,103.381,108.454,107.13,-8.19308,-3.7495,70.8934,69.2243,2.1,2,70.04890873,73.8,73,146.8,0.8,-0.8,46.66,0.8,Columbia,Lehigh 74 – Columbia 73,1.7,-1.7,HOME,Lehigh,1.7,2.3
11/21/2025,Florida St Seminoles,Georgia Southern Eagles,Florida St.,Georgia Southern,Florida St.,Georgia Southern,-18.5,18.5,175.5,113.455,108.386,100.984,112.816,12.4712,-4.43069,73.5507,74.605,3.2,2.5,74.07409872,85.6,75.8,161.3,-16.04,16.04,93.543,16,Florida St.,Florida St. 86 – Georgia Southern 76,-2.46,2.46,AWAY,Georgia Southern,2.46,-14.2
11/21/2025,Stonehill Skyhawks,Lafayette Leopards,Stonehill,Lafayette,Stonehill,Lafayette,1.5,-1.5,139.5,96.1014,100.779,110.344,115.313,-14.243,-14.5332,69.6716,69.695,2.3,2.2,69.68329804,74.9,72.3,147.2,-2.73,2.73,61.192,2.7,Stonehill,Stonehill 75 – Lafayette 72,4.23,-4.23,HOME,Stonehill,4.23,7.7
11/21/2025,Appalachian St Mountaineers,Charlotte 49ers,Appalachian St.,Charlotte,Appalachian St.,Charlotte,-1.5,1.5,130.5,103.414,109.332,108.326,111.735,-4.91183,-2.4027,66.3543,65.3704,2.6,3.6,65.85867545,72.3,70.2,142.5,-1.21,1.21,55.014,1.2,Appalachian St.,Appalachian St. 72 – Charlotte 70,-0.29,0.29,AWAY,Charlotte,0.29,12
11/21/2025,Rutgers Scarlet Knights,Central Connecticut St Blue Devils,Rutgers,Central Connecticut,Rutgers,Central Connecticut,-14.5,14.5,138.5,110.206,96.3291,102.37,107.266,7.83636,-10.937,69.7404,69.0099,3.9,1.8,69.37322701,77.6,66.8,144.4,-17.31,17.31,94.713,17.3,Rutgers,Rutgers 78 – Central Connecticut 67,2.81,-2.81,HOME,Rutgers,2.81,5.9
11/21/2025,Cincinnati Bearcats,Louisville Cardinals,Cincinnati,Louisville,Cincinnati,Louisville,9.5,-9.5,163.5,108.539,125.833,91.115,100.112,17.4236,25.7219,73.9834,73.9021,3.7,3.3,73.94272765,79.2,78.2,157.3,2.07,-2.07,41.476,2.1,Louisville,Cincinnati 79 – Louisville 78,7.43,-7.43,HOME,Cincinnati,7.43,-6.2
11/21/2025,Clemson Tigers,West Virginia Mountaineers,Clemson,West Virginia,Clemson,West Virginia,-3.5,3.5,132.5,119.367,111.097,98.8529,97.2849,20.5144,13.8117,66.8653,66.1054,3.5,4.5,66.48317866,73.9,67.9,141.8,-8.31,8.31,79.969,8.3,Clemson,Clemson 74 – West Virginia 68,4.81,-4.81,HOME,Clemson,4.81,9.3
11/21/2025,Michigan St Spartans,Detroit Mercy Titans,Michigan St.,Detroit Mercy,Michigan St.,Detroit Mercy,-31.5,31.5,149.5,116.658,99.396,94.0656,112.639,22.5925,-13.2429,69.2559,72.9652,3.1,2.8,71.06217846,83.2,67,150.2,-28.88,28.88,99,28.9,Michigan St.,Michigan St. 83 – Detroit Mercy 67,-2.62,2.62,AWAY,Detroit Mercy,2.62,0.7
11/21/2025,Eastern Michigan Eagles,Oakland Golden Grizzlies,Eastern Michigan,Oakland,Eastern Michigan,Oakland,2.5,-2.5,151.5,102.154,109.694,108.214,111.123,-6.06024,-1.4289,70.1561,69.9695,2.9,2.5,70.06267576,76.3,74.7,151,0.05,-0.05,49.771,0.1,Oakland,Eastern Michigan 76 – Oakland 75,2.45,-2.45,HOME,Eastern Michigan,2.45,-0.5
11/21/2025,Siena Saints,Albany Great Danes,Siena,Albany,Siena,Albany,-12.5,12.5,137.5,105.271,99.9904,107.03,111.132,-1.75912,-11.142,68.5273,70.3437,2.7,2.1,69.42362096,76.6,70.4,147,-9.48,9.48,82.93,9.5,Siena,Siena 77 – Albany 70,-3.02,3.02,AWAY,Albany,3.02,9.5
11/21/2025,Marist Red Foxes,Army Knights,Marist,Army,Marist,Army,-15.5,15.5,131.5,97.7246,97.1222,99.4015,115.023,-1.67687,-17.901,67.5041,70.6247,2.3,2.3,69.02914977,74.7,66.6,141.3,-13.73,13.73,90.79,13.7,Marist,Marist 75 – Army 67,-1.77,1.77,AWAY,Army,1.77,9.8
11/21/2025,Canisius Golden Griffins,Maryland-Eastern Shore Hawks,Canisius,Maryland Eastern Shore,Canisius,Maryland Eastern Shore,-2.5,2.5,126.5,97.1659,92.698,115.055,108.782,-17.8889,-16.0844,67.5345,66.008,2.4,3.1,66.76252543,70.1,68,138.1,-1.44,1.44,55.952,1.4,Canisius,Canisius 70 – Maryland Eastern Shore 68,-1.06,1.06,AWAY,Maryland Eastern Shore,1.06,11.6
