Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,A_Team,B_Team,A_AdjOE,B_AdjOE,A_AdjDE,B_AdjDE,A_AdjEM,B_AdjEM,A_AdjTempo,B_AdjTempo,A_HomeCourtAdv,B_HomeCourtAdv,HomeModelSpread,AwayModelSpread,HomeMarketSpread_model,AwayMarketSpread_model,ModelTotal,WinProb_Home_pct,HomeSpreadEdge,AwaySpreadEdge,TotalEdge,EdgeSide,EdgeTeam,EdgePoints
11/18/2025,Rutgers Scarlet Knights,American Eagles,Rutgers,American,Rutgers,American,-14.5,14.5,145.5,Rutgers,American,110.349,100.81,101.339,111.547,9.00956,-10.7368,69.9232,70.0032,3.9,2.1,23.65,-23.65,14.5,-14.5,147.7,95.9,9.15,-9.15,2.2,HOME,Rutgers,9.15
11/18/2025,Buffalo Bulls,Vermont Catamounts,Buffalo,Vermont,Buffalo,Vermont,3.5,-3.5,140.5,Buffalo,Vermont,105.02,107.535,112.081,109.16,-7.06023,-1.6253,69.628,67.8958,2.9,2.4,-2.53,2.53,-3.5,3.5,146.2,41.6,0.97,-0.97,5.7,HOME,Buffalo,0.97
11/18/2025,Kentucky Wildcats,Michigan St Spartans,Kentucky,Michigan St.,Kentucky,Michigan St.,-4.5,4.5,153.5,Kentucky,Michigan St.,122.965,115.144,94.103,95.6274,28.8623,19.5165,72.5542,69.383,3.6,3.1,12.95,-12.95,4.5,-4.5,169,84.9,8.45,-8.45,15.5,HOME,Kentucky,8.45
11/19/2025,Boston College Eagles,Hampton Pirates,Boston College,Hampton,Boston College,Hampton,-12.5,12.5,138.5,Boston College,Hampton,107.193,102.59,100.704,109.814,6.48917,-7.22396,68.9601,68.837,3,3.2,16.71,-16.71,12.5,-12.5,144.5,90.3,4.21,-4.21,6,HOME,Boston College,4.21
11/19/2025,Columbia Lions,Boston Univ. Terriers,Columbia,Boston University,Columbia,Boston University,-6.5,6.5,145.5,Columbia,Boston University,105.708,107.261,109.539,115.641,-3.83109,-8.37982,70.18,66.3485,2,2.1,6.55,-6.55,6.5,-6.5,145.4,70.5,0.05,-0.05,-0.1,HOME,Columbia,0.05
11/19/2025,Brown Bears,Holy Cross Crusaders,Brown,Holy Cross,Brown,Holy Cross,-3.5,3.5,139.5,Brown,Holy Cross,100.217,101.727,110.097,114.667,-9.87992,-12.9404,68.5974,68.9569,1.8,2.1,4.86,-4.86,3.5,-3.5,138.9,65.7,1.36,-1.36,-0.6,HOME,Brown,1.36
11/19/2025,Delaware Blue Hens,Saint Peter's Peacocks,Delaware,Saint Peter's,Delaware,Saint Peter's,-5.5,5.5,140.5,Delaware,Saint Peter's,106.158,100.259,111.836,110.827,-5.67803,-10.5678,70.2887,67.2642,2.4,2.6,7.29,-7.29,5.5,-5.5,142,72.6,1.79,-1.79,1.5,HOME,Delaware,1.79
11/19/2025,Detroit Mercy Titans,Eastern Michigan Eagles,Detroit Mercy,Eastern Michigan,Detroit Mercy,Eastern Michigan,1.5,-1.5,154.5,Detroit Mercy,Eastern Michigan,100.925,102.55,112.835,109.667,-11.9097,-7.11716,73.6619,70.7944,2.8,2.9,-1.99,1.99,-1.5,1.5,147,43.4,-0.49,0.49,-7.5,AWAY,Eastern Michigan,0.49
11/19/2025,Drexel Dragons,NJIT Highlanders,Drexel,NJIT,Drexel,NJIT,-9.5,9.5,133.5,Drexel,NJIT,102.051,95.5078,110.839,110.033,-8.78846,-14.5256,68.1834,70.6722,3.1,2.3,8.84,-8.84,9.5,-9.5,137.2,76.5,-0.66,0.66,3.7,AWAY,NJIT,0.66
11/19/2025,UNC Wilmington Seahawks,East Carolina Pirates,UNC Wilmington,East Carolina,UNC Wilmington,East Carolina,-6.5,6.5,145.5,UNC Wilmington,East Carolina,110.601,103.844,108.14,105.588,2.46062,-1.74376,68.2316,71.9421,3,3.3,7.2,-7.2,6.5,-6.5,150.3,72.3,0.7,-0.7,4.8,HOME,UNC Wilmington,0.7
