Date,HomeTeam,AwayTeam,HomeMarketSpread,AwayMarketSpread,MarketTotal,HomeModelSpread,AwayModelSpread,ModelTotal,WinProb_A_pct,HomeSpreadEdge,AwaySpreadEdge,SpreadEdge,TotalEdge,EdgeTeam,EdgePoints
2025-11-18,Kentucky,Michigan St.,-5.5,5.5,154.5,-14.18,14.18,158.6,8.601,8.68,0.0,-8.68,4.099999999999994,Kentucky,8.68
2025-11-18,UCF,Oakland,-12.5,12.5,160.5,-20.075,20.075,150.5,3.403,7.57,0.0,-7.574999999999999,-10.0,UCF,7.57
2025-11-17,Georgia,Florida A&M,-38.5,38.5,172.5,-31.255,31.255,148.7,1.0,0.0,7.25,7.245000000000001,-23.80000000000001,Florida A&M,7.25
2025-11-19,Duke,Kansas,-7.5,7.5,150.5,-13.33,13.33,158.5,9.782,5.83,0.0,-5.83,8.0,Duke,5.83
2025-11-18,Oregon,Oregon St.,-12.5,12.5,141.5,-18.045,18.045,143.9,4.709,5.55,0.0,-5.545000000000002,2.4000000000000057,Oregon,5.55
2025-11-18,Arizona St.,Georgia St.,-17.5,17.5,143.5,-22.95,22.95,139.2,2.135,5.45,0.0,-5.449999999999999,-4.300000000000011,Arizona St.,5.45
2025-11-18,Missouri,Prairie View A&M,-35.5,35.5,163.5,-30.435,30.435,148.9,1.0,0.0,5.07,5.065000000000001,-14.599999999999994,Prairie View A&M,5.07
2025-11-18,Iowa St.,Stonehill,-38.5,38.5,146.5,-33.455,33.455,143.0,1.0,0.0,5.05,5.045000000000002,-3.5,Stonehill,5.05
2025-11-18,Penn,Saint Joseph's,5.5,-5.5,163.5,10.11,-10.11,144.1,84.357,0.0,4.61,4.609999999999999,-19.400000000000006,Saint Joseph's,4.61
2025-11-18,Pittsburgh,Bucknell,-16.5,16.5,142.5,-20.84,20.84,138.1,3.008,4.34,0.0,-4.34,-4.400000000000006,Pittsburgh,4.34
2025-11-18,West Virginia,Lafayette,-23.5,23.5,133.5,-26.935,26.935,135.2,1.111,3.43,0.0,-3.4349999999999987,1.6999999999999886,West Virginia,3.43
2025-11-18,UC Santa Barbara,Loyola Marymount,-3.5,3.5,143.5,-0.23,0.23,143.3,49.042,0.0,3.27,3.27,-0.19999999999998863,Loyola Marymount,3.27
2025-11-18,North Dakota St.,Southern Illinois,1.5,-1.5,154.5,4.48,-4.48,143.9,67.845,0.0,2.98,2.9800000000000004,-10.599999999999994,Southern Illinois,2.98
2025-11-18,Charleston,Drake,-5.5,5.5,147.5,-2.59,2.59,141.6,39.373,0.0,2.91,2.91,-5.900000000000006,Drake,2.91
2025-11-18,Kansas St.,Tulsa,-12.5,12.5,161.5,-15.16,15.16,153.4,7.401,2.66,0.0,-2.66,-8.099999999999994,Kansas St.,2.66
2025-11-18,Gonzaga,Southern Utah,-35.5,35.5,160.5,-32.85,32.85,151.8,1.0,0.0,2.65,2.6499999999999986,-8.699999999999989,Southern Utah,2.65
2025-11-18,Clemson,North Alabama,-23.5,23.5,144.5,-26.09,26.09,144.7,1.276,2.59,0.0,-2.59,0.19999999999998863,Clemson,2.59
2025-11-18,Portland St.,Cal St. Bakersfield,-6.5,6.5,145.5,-8.33,8.33,137.7,19.967,1.83,0.0,-1.83,-7.800000000000011,Portland St.,1.83
2025-11-18,Le Moyne,Niagara,1.5,-1.5,140.5,-0.19,0.19,129.3,49.208,1.69,0.0,-1.69,-11.199999999999989,Le Moyne,1.69
2025-11-18,Tennessee Tech,West Georgia,-3.5,3.5,150.5,-1.91,1.91,135.7,42.108,0.0,1.59,1.59,-14.800000000000011,West Georgia,1.59
2025-11-18,Colorado,Alabama St.,-20.5,20.5,152.5,-19.7,19.7,144.8,3.615,0.0,0.8,0.8000000000000007,-7.699999999999989,Alabama St.,0.8
2025-11-18,Wisconsin,SIUE,-25.5,25.5,143.5,-24.869999999999997,24.869999999999997,143.6,1.56,0.0,0.63,0.6300000000000026,0.09999999999999432,SIUE,0.63
2025-11-18,N.C. State,VCU,-12.5,12.5,165.5,-12.99,12.99,158.4,10.294,0.49,0.0,-0.4900000000000002,-7.099999999999994,N.C. State,0.49
2025-11-18,Tennessee,Rice,-26.5,26.5,142.5,-26.02,26.02,144.3,1.291,0.0,0.48,0.4800000000000004,1.8000000000000114,Rice,0.48
2025-11-18,Siena,Colgate,-5.5,5.5,151.5,-5.46,5.46,138.1,28.7,0.0,0.04,0.040000000000000036,-13.400000000000006,Colgate,0.04
